time_lookup time_connect time_appconnect time_pretransfer time_redirect timestarttransfer time_total
0.000 0.002 0.168 0.168 0.000 0.608 0.608
0.000 0.002 0.155 0.155 0.000 0.424 0.424
0.000 0.002 0.168 0.168 0.000 0.400 0.400
0.000 0.002 0.162 0.162 0.000 0.396 0.396
0.000 0.002 0.164 0.164 0.000 0.593 0.593
0.000 0.002 0.173 0.173 0.000 0.529 0.529
0.000 0.002 0.170 0.170 0.000 0.514 0.514
0.000 0.002 0.153 0.154 0.000 0.426 0.426
0.000 0.002 0.162 0.162 0.000 0.643 0.643
0.000 0.002 0.171 0.171 0.000 0.575 0.575
0.000 0.002 0.163 0.163 0.000 0.451 0.452
0.000 0.002 0.146 0.147 0.000 0.410 0.410
0.000 0.002 0.162 0.162 0.000 0.456 0.456
0.000 0.002 0.170 0.170 0.000 0.563 0.563
0.000 0.002 0.170 0.170 0.000 0.408 0.408
0.000 0.002 0.162 0.162 0.000 0.491 0.491
0.000 0.002 0.171 0.171 0.000 0.604 0.604
0.000 0.002 0.167 0.167 0.000 0.555 0.555
0.000 0.002 0.164 0.164 0.000 0.583 0.583
0.000 0.002 0.167 0.167 0.000 0.592 0.592
0.000 0.002 0.164 0.164 0.000 0.410 0.410
0.000 0.002 0.160 0.160 0.000 0.553 0.553
0.000 0.002 0.167 0.167 0.000 0.664 0.665
0.000 0.004 0.183 0.183 0.000 0.646 0.646
0.000 0.002 0.163 0.163 0.000 0.540 0.540
0.000 0.002 0.165 0.165 0.000 0.537 0.537
0.000 0.002 0.158 0.158 0.000 0.509 0.509
0.000 0.002 0.138 0.138 0.000 0.444 0.444
0.000 0.002 0.156 0.156 0.000 0.588 0.588
0.000 0.002 0.159 0.159 0.000 0.595 0.595
0.000 0.002 0.165 0.165 0.000 0.511 0.511
0.000 0.002 0.164 0.164 0.000 0.544 0.545
0.000 0.002 0.164 0.164 0.000 0.451 0.451
0.000 0.002 0.166 0.166 0.000 0.560 0.560
0.000 0.002 0.161 0.161 0.000 0.382 0.382
0.000 0.002 0.168 0.168 0.000 0.432 0.432
0.000 0.002 0.172 0.172 0.000 0.656 0.656
0.000 0.002 0.171 0.171 0.000 0.517 0.517
0.000 0.002 0.164 0.164 0.000 0.541 0.541
0.000 0.002 0.177 0.177 0.000 0.518 0.518
0.000 0.002 0.164 0.164 0.000 0.663 0.663
0.000 0.002 0.160 0.160 0.000 0.478 0.478
0.000 0.002 0.159 0.159 0.000 0.452 0.452
0.000 0.002 0.170 0.170 0.000 0.618 0.618
0.000 0.002 0.150 0.150 0.000 0.400 0.400
0.000 0.002 0.165 0.165 0.000 0.443 0.443
0.000 0.002 0.168 0.168 0.000 0.383 0.383
0.000 0.002 0.174 0.174 0.000 0.655 0.655
0.000 0.002 0.170 0.170 0.000 0.454 0.454
0.000 0.002 0.165 0.165 0.000 0.418 0.418
0.000 0.002 0.167 0.167 0.000 0.493 0.493
0.000 0.002 0.165 0.165 0.000 0.468 0.468
0.000 0.002 0.160 0.160 0.000 0.460 0.460
0.000 0.002 0.162 0.162 0.000 0.533 0.533
0.000 0.002 0.164 0.164 0.000 0.473 0.474
0.000 0.002 0.166 0.166 0.000 0.424 0.424
0.000 0.003 0.171 0.171 0.000 0.523 0.524
0.000 0.002 0.164 0.164 0.000 0.591 0.591
0.000 0.002 0.162 0.163 0.000 0.548 0.548
0.000 0.002 0.167 0.167 0.000 0.522 0.523
0.000 0.002 0.168 0.168 0.000 0.588 0.589
0.000 0.002 0.142 0.142 0.000 0.490 0.490
0.000 0.002 0.163 0.163 0.000 0.514 0.514
0.000 0.002 0.166 0.166 0.000 0.577 0.577
0.000 0.002 0.164 0.164 0.000 0.391 0.391
0.000 0.002 0.174 0.174 0.000 0.417 0.417
0.000 0.002 0.167 0.167 0.000 0.447 0.447
0.000 0.002 0.163 0.163 0.000 0.586 0.586
0.000 0.002 0.176 0.176 0.000 0.490 0.490
0.000 0.002 0.170 0.171 0.000 0.482 0.482
0.000 0.002 0.169 0.169 0.000 0.511 0.511
0.000 0.002 0.165 0.165 0.000 0.605 0.605
0.000 0.002 0.157 0.157 0.000 0.502 0.503
0.000 0.002 0.168 0.168 0.000 0.491 0.491
0.000 0.002 0.161 0.161 0.000 0.433 0.433
0.000 0.002 0.156 0.156 0.000 0.428 0.428
0.000 0.002 0.161 0.161 0.000 0.483 0.483
0.000 0.002 0.168 0.168 0.000 0.611 0.611
0.000 0.002 0.161 0.161 0.000 0.514 0.515
0.000 0.003 0.166 0.166 0.000 0.449 0.450
0.000 0.002 0.163 0.163 0.000 0.576 0.576
0.000 0.002 0.173 0.173 0.000 0.479 0.479
0.000 0.002 0.176 0.176 0.000 0.566 0.566
0.000 0.002 0.167 0.167 0.000 0.672 0.672
0.000 0.002 0.165 0.165 0.000 0.617 0.617
0.000 0.002 0.153 0.153 0.000 0.597 0.597
0.000 0.002 0.164 0.164 0.000 0.634 0.634
0.000 0.002 0.163 0.163 0.000 0.612 0.612
0.000 0.002 0.160 0.160 0.000 0.489 0.489
0.000 0.002 0.171 0.171 0.000 0.534 0.534
0.000 0.002 0.163 0.163 0.000 0.563 0.563
0.000 0.002 0.159 0.159 0.000 0.490 0.490
0.000 0.002 0.171 0.171 0.000 0.423 0.423
0.000 0.002 0.162 0.162 0.000 0.541 0.541
0.000 0.002 0.168 0.168 0.000 0.486 0.486
0.000 0.002 0.164 0.164 0.000 0.665 0.665
